id,Question,Informational,Guidance oriented,Institutional,Conversational
11, 'How to apply for leave officially?',"Students may submit a written application to the Head of Department, send it through a friend, or email it to the department’s email ID.","You can submit your application by writing to the Head of Department, sending it through one of your friends, or emailing it to the department’s official email ID.","Students are permitted to submit a written application addressed to the Head of Department either in person, through a representative, or via the department’s official email ID.","You can apply by submitting a written application to the HOD, sending it through a friend, or emailing it to the department’s email ID."
12,what is the minimum attendance required?',The minimum attendance requirement is 75% per semester for all students.,All students are required to maintain a minimum attendance of 75% in each semester.,A minimum attendance of 75% per semester is mandatory for all students.,You need to have at least 75% attendance in each semester.
13,'what are the exam rules?',All rules for the examination hall are mentioned in the examination form or on your admit card. Students are advised to read them carefully and follow them.,The rules that must be followed in the exam hall are listed in your examination form or admit card. Make sure to read them thoroughly and adhere to them during exams.,Students are informed that all regulations pertaining to conduct in the examination hall are detailed in the examination form or on the admit card. Strict compliance with these rules is expected.,All the exam hall rules are mentioned in your exam form or admit card. Make sure you read them carefully and follow them during the exam.
14,does medical leave counts in attendance?',Students with attendance below the mandatory 75% are required to submit an application along with a medical certificate.,"If your attendance is less than the mandatory 75%, you must submit an application and provide a medical certificate to the college",Students whose attendance falls below the prescribed 75% are expected to submit an application accompanied by a medical certificate for consideration.,"If your attendance is under 75%, you need to submit an application and a medical certificate to explain your absence."
15, 'What happens in case of attendance shortage?',"Students must submit an application along with a medical certificate if their attendance is below the mandatory 75%. If a medical certificate is not provided, an additional fee may be charged, the admit card issuance may be delayed or restricted, and the student may not be permitted to fill out the scholarship form.","If your attendance is below the required 75%, you are required to submit an application and a medical certificate. In case the medical certificate is not submitted, you may be charged an additional fee, your admit card issuance could be delayed or affected, and you may not be allowed to apply for a scholarship.","Students whose attendance falls below the mandatory requirement of 75% are required to submit an application along with a valid medical certificate. Failure to submit the medical certificate may result in the imposition of an additional fee, delay or restriction in the issuance of the admit card, and ineligibility to fill the scholarship form.","If your attendance is under 75%, you’ll need to submit an application along with a medical certificate. If the medical certificate is not submitted, you might have to pay an extra fee, your admit card could be delayed or held up, and you may not be able to fill out the scholarship form."
16,how can i get my id card?',The ID card can be issued at Counter Number 4.,You can get your ID card issued at Counter Number 4.,The issuance of ID cards is carried out at Counter Number 4.,You can collect your ID card from Counter Number 4.
17, 'how can I check my attendance?',Students’ attendance records are maintained in a register. Students may ask the teacher for their attendance percentage for a specific subject. The attendance percentage is calculated at the end of each month.,"Attendance for each subject is recorded in a register. If you want to know your attendance percentage, you can request it from the concerned teacher. Attendance percentages are calculated at the end of every month.",Student attendance is recorded in an official register. Students may approach the respective teacher to obtain their attendance percentage for a particular subject. Attendance percentages are computed at the end of each month.,"Your attendance is recorded in a register for each subject. You can ask your teacher for your attendance percentage anytime, and the percentage is calculated at the end of every month."
18, 'what documents are required for admission?',"Applicants are required to attach self-attested copies of the following documents with their application: Pass Certificate and Marksheet of Class X (10th), Pass Certificate and Marksheet of Class XII (12th), Marksheet of the last examination passed, proof of not taking admission elsewhere along with a notarized declaration of no legal issues (if the qualifying examination was passed in the specified earlier years), Character Certificate from the Head of the last institution attended (original to be submitted at the time of counseling), Character Certificate from the Superintendent of Police, District Magistrate, or Gazetted Officer for private candidates (certified after the specified date), and an attested copy of the Caste Certificate or CMO Certificate for reserved category applicants (original to be produced during counseling). For more information on admission procedure, visit https://www.npgc.in/Admission-Procedures.aspx","While submitting the application, applicants should ensure that self-attested copies of all required documents are attached. These include Class X and Class XII pass certificates and marksheets, the marksheet of the last examination passed, and, where applicable, proof of not taking admission elsewhere along with a notarized declaration regarding no legal issues. A Character Certificate from the Head of the last institution attended is required, with the original to be submitted during counseling. Private candidates must provide a Character Certificate issued by the Superintendent of Police, District Magistrate, or a Gazetted Officer after the specified date. Applicants applying under a reserved category must also attach an attested copy of the relevant Caste or CMO Certificate, with the original to be shown at counseling. For more information on admission procedure, visit https://www.npgc.in/Admission-Procedures.aspx","All applicants must submit self-attested copies of the prescribed documents along with their application. These documents include the Pass Certificate and Marksheet of Class X (10th), Pass Certificate and Marksheet of Class XII (12th), and the Marksheet of the last examination passed. Candidates who passed the qualifying examination in the specified earlier years must additionally submit proof of not having taken admission elsewhere along with a notarized declaration stating that there are no legal issues. A Character Certificate issued by the Head of the last institution attended is mandatory, with the original to be produced at the time of counseling. Private candidates are required to submit a Character Certificate issued by the Superintendent of Police, District Magistrate, or a Gazetted Officer, certified after the specified date. Reserved category candidates must submit an attested copy of the applicable Caste Certificate or CMO Certificate, with the original to be verified during counseling. For more information on admission procedure, visit https://www.npgc.in/Admission-Procedures.aspx","When applying, make sure to attach self-attested copies of all required documents. This includes your Class 10 and Class 12 pass certificates and marksheets, as well as the marksheet of the last exam you passed. If you completed your qualifying exam in the specified earlier years, you’ll also need to submit proof that you didn’t take admission elsewhere along with a notarized declaration stating there are no legal issues. A Character Certificate from the Head of your last institution is required, and you’ll need to submit the original during counseling. Private candidates must provide a Character Certificate issued by the Superintendent of Police, District Magistrate, or a Gazetted Officer after the specified date. If you are applying under a reserved category, don’t forget to attach an attested copy of your Caste or CMO Certificate and bring the original for counseling. For more information on admission procedure, visit https://www.npgc.in/Admission-Procedures.aspx"
19,How can i change my course?',"","","",""
20,Is there any specialization course I can apply for?',"Specialization courses vary by department and are subject to change over time. For detailed information, contact your Head of Department.",,,
21, 'How can I get my personal details updated in college database',"","","",""
22,'what are the minor subjects for 3rd sem students?',"","","",""
23,'what are the minor subjects for 2nd sem students?',"","","",""
24,'what are the minor subjects for 1st sem students?',"","","",""
25,List the UG course I can apply for?',"The following undergraduate (UG) courses are offered by National PG College: B.A., B.Com., B.Sc., B.B.A., B.B.A. (MS) (discontinued from 2023), B.B.A. (Digital Business), B.C.A., B.Com. (Hons.), B.Com. (eCommerce), B.Voc. (Software Development & E-Governance), B.Voc. (Banking & Finance), B.A.J.M.C., and B.P.H. For more information, visit https://www.npgc.in/Academics-CoursesUG.aspx","National PG College offers a range of undergraduate programs, including B.A., B.Com., B.Sc., B.B.A., and B.B.A. (Digital Business). Other UG courses include B.C.A., B.Com. (Hons.), B.Com. (eCommerce), B.Voc. programs in Software Development & E-Governance and Banking & Finance, B.A.J.M.C., and B.P.H. Please note that B.B.A. (MS) has been discontinued from 2023. For more information, visit https://www.npgc.in/Academics-CoursesUG.aspx","National PG College offers the following Undergraduate (UG) programs: Bachelor of Arts (B.A.), Bachelor of Commerce (B.Com.), Bachelor of Science (B.Sc.), Bachelor of Business Administration (B.B.A.), Bachelor of Business Administration (MS) (discontinued from 2023), Bachelor of Business Administration (Digital Business), Bachelor of Computer Applications (B.C.A.), Bachelor of Commerce (Honours), Bachelor of Commerce (eCommerce), Bachelor of Vocation in Software Development & E-Governance, Bachelor of Vocation in Banking & Finance, Bachelor of Arts in Journalism and Mass Communication (B.A.J.M.C.), and Bachelor of Public Health (B.P.H.). For more information, visit https://www.npgc.in/Academics-CoursesUG.aspx","National PG College offers several UG courses like B.A., B.Com., B.Sc., B.B.A., B.B.A. (Digital Business), and B.C.A. You can also choose from courses such as B.Com. (Hons.), B.Com. (eCommerce), B.Voc. programs in Software Development & E-Governance and Banking & Finance, B.A.J.M.C., and B.P.H. Please note that B.B.A. (MS) has been discontinued from 2023. For more information, visit https://www.npgc.in/Academics-CoursesUG.aspx"
26,List the PG course I can apply for?',"The following postgraduate (PG) courses are offered by National PG College: M.A./M.Sc. (Anthropology), M.A. (Economics), M.A. (English), M.A. (Geography), M.A. (Political Science), M.A. (Psychology), M.Sc. (Chemistry), M.Sc. (Geoinformatics), M.Com, M.Voc. (Software & E-Governance), M.Voc. (Banking, Stock & Insurance), and M.P.H. (Master in Public Health). For more information, visit: https://www.npgc.in/Academics-CoursesPG.aspx","National PG College offers a variety of postgraduate programs, including M.A./M.Sc. in Anthropology, M.A. programs in Economics, English, Geography, Political Science, and Psychology, as well as M.Sc. programs in Chemistry and Geoinformatics. Other PG courses include M.Com, M.Voc. in Software & E-Governance, M.Voc. in Banking, Stock & Insurance, and M.P.H. (Master in Public Health). For more information, visit: https://www.npgc.in/Academics-CoursesPG.aspx","National PG College offers the following Postgraduate (PG) programs: Master of Arts/Master of Science (Anthropology), Master of Arts in Economics, English, Geography, Political Science, and Psychology, Master of Science in Chemistry and Geoinformatics, Master of Commerce, Master of Vocation in Software & E-Governance, Master of Vocation in Banking, Stock & Insurance, and Master of Public Health (M.P.H.). For more information, visit: https://www.npgc.in/Academics-CoursesPG.aspx","At National PG College, you can choose from several PG courses such as M.A./M.Sc. (Anthropology), M.A. programs in Economics, English, Geography, Political Science, and Psychology, and M.Sc. programs in Chemistry and Geoinformatics. The college also offers M.Com, M.Voc. in Software & E-Governance, M.Voc. in Banking, Stock & Insurance, and M.P.H. in Public Health. For more information, visit: https://www.npgc.in/Academics-CoursesPG.aspx"
27, 'What are the certificate courses I can apply for?',"The following certificate courses are offered at National PG College: Certificate Course in Forensic Science – Anthropology Department, Certificate Course in Psychological Counseling – Psychology Department, Effective Communication in English – Computer Science Department, Certificate Course in Computer Science – Computer Science Department, Introduction to Blockchain Technology and Application – Computer Science Department, and Certificate in Robotics and Artificial Intelligence – Physics Department. For more information, visit: https://www.npgc.in/Academics-CoursesCertification.aspx","National PG College offers several certificate courses across departments. You can take the Certificate Course in Forensic Science from the Anthropology Department, or the Certificate Course in Psychological Counseling from the Psychology Department. The Computer Science Department offers Effective Communication in English, a Certificate Course in Computer Science, and Introduction to Blockchain Technology and Application. The Physics Department offers a Certificate in Robotics and Artificial Intelligence. For more information, visit: https://www.npgc.in/Academics-CoursesCertification.aspx","The following certificate programs are available at National PG College: Certificate Course in Forensic Science (Anthropology Department), Certificate Course in Psychological Counseling (Psychology Department), Effective Communication in English (Computer Science Department), Certificate Course in Computer Science (Computer Science Department), Introduction to Blockchain Technology and Application (Computer Science Department), and Certificate in Robotics and Artificial Intelligence (Physics Department). For more information, visit: https://www.npgc.in/Academics-CoursesCertification.aspx","You can enroll in several certificate courses at National PG College: Forensic Science with the Anthropology Department, Psychological Counseling with the Psychology Department, Effective Communication in English, Certificate in Computer Science, and Introduction to Blockchain Technology with the Computer Science Department, and Robotics and Artificial Intelligence with the Physics Department. For more information, visit: https://www.npgc.in/Academics-CoursesCertification.aspx"
28,Does npgc have study centers for distance learning?',"National Post Graduate College (NPGC) has a Distance Learning Centre that serves as a study centre for IGNOU (Indira Gandhi National Open University) and Uttar Pradesh Rajarshi Tandon Open University (UPRTOU). These centres provide certificate, diploma, and degree programs in distance mode, along with regular consultation classes and remedial sessions. NPGC does not offer its own distance learning or online programs independently; it functions solely as a support centre for IGNOU and UPRTOU students.","NPGC has a Distance Learning Centre that acts as a study centre for IGNOU and UPRTOU. If you are enrolled in distance programs through these universities, you can attend consultation classes, remedial sessions, and access support at NPGC. Please note that NPGC does not run its own distance learning or online programs—it only provides assistance to students of IGNOU and UPRTOU.","National Post Graduate College (NPGC) maintains a Distance Learning Centre functioning as a study centre for IGNOU (Indira Gandhi National Open University) and Uttar Pradesh Rajarshi Tandon Open University (UPRTOU). These centres facilitate certificate, diploma, and degree programs in distance mode and organize consultation classes and remedial sessions for enrolled students. NPGC does not independently offer distance learning degrees or online programs; it provides support services for distance learners affiliated with IGNOU and UPRTOU.","NPGC has a Distance Learning Centre where students of IGNOU and UPRTOU can get support. The centre runs certificate, diploma, and degree programs in distance mode and holds consultation classes and remedial sessions. Just so you know, NPGC doesn’t offer its own online or distance programs—it’s mainly a support hub for students from these open universities."
29,From where can i download my course syllabus?',"To access the syllabus, go to the college website, click the three lines on the side of the blue bar, select Students Corner, then choose Downloads, and finally select Syllabus from the drop-down menu. Here's the link: https://www.npgc.in/StudentSupport-Downloads.aspx","You can find the syllabus by visiting the college website. Click the three lines on the blue bar, go to Students Corner, select Downloads, and then pick Syllabus from the drop-down menu. Here's the link: https://www.npgc.in/StudentSupport-Downloads.aspx","To download the syllabus, please navigate to the college website, click the menu icon on the blue bar, access Students Corner, select Downloads, and choose Syllabus from the drop-down options. Here's the link: https://www.npgc.in/StudentSupport-Downloads.aspx","Want to check the syllabus? Head to the college website, tap the three-line menu on the blue bar, go to Students Corner, click Downloads, and then select Syllabus from the drop-down. Here's the link: https://www.npgc.in/StudentSupport-Downloads.aspx"
30,How do I apply for scholarship?',"","","",""
31,What is the eligibility for scholarship?',"UP Scholarship eligibility requires the applicant to be a permanent resident of Uttar Pradesh and enrolled in an institution registered on the UP Scholarship portal. Income limits are as follows: OBC – less than ₹2,00,000; General/Minority/SC/ST – less than ₹2,50,000. For Post-Matric scholarships, applicants are generally required to have passed the previous year’s examination. A valid UP domicile certificate, caste certificate, Rashan card or other state-issued proof of residence is typically required for verification before disbursal. Note: Scholarship notice is always shared by the department head  which includes application due date and eligibility criteria.","To apply for the UP Scholarship, make sure you are a permanent resident of Uttar Pradesh and studying at an institution listed on the UP Scholarship portal. Check that your family income meets the limits: OBC – below ₹2,00,000; General/Minority/SC/ST – below ₹2,50,000. If you are applying for a Post-Matric scholarship, ensure you have passed the previous year’s exam. Keep your UP domicile or caste certificate handy, as officials may require it for verification before funds are disbursed. Note: Scholarship notice is always shared by the department head  which includes application due date and eligibility criteria.","Eligibility for the UP Scholarship is limited to students who are permanent residents of Uttar Pradesh and enrolled in institutions registered on the UP Scholarship portal. Income criteria are as follows: OBC – less than ₹2,00,000; General, Minority, SC, ST – less than ₹2,50,000. For Post-Matric scholarships, applicants are generally expected to have successfully completed the preceding academic year. A valid UP domicile certificate, caste certificate, or other state-issued proof of residence is required for verification prior to the disbursal of scholarship funds. Note: Scholarship notice is always shared by the department head  which includes application due date and eligibility criteria.","To be eligible for the UP Scholarship, you need to be a permanent resident of Uttar Pradesh and study at a college registered on the UP Scholarship portal. Your family income should be below ₹2,00,000 if you’re OBC, and below ₹2,50,000 if you’re General, Minority, SC, or ST. For Post-Matric scholarships, you usually need to have passed last year’s exam. Also, make sure you have a UP domicile certificate or caste certificate ready, as it’s often checked before the scholarship money is released. Note: Scholarship notice is always shared by the department head  which includes application due date and eligibility criteria."
32,How much money is credited in scholarship?',"The UP scholarship amount is calculated based on the course pursued, the student’s category (SC/ST/OBC/Minority/General), family annual income, type of institution (government or private), and the tuition fees and eligible allowances for the course.","Your UP scholarship amount depends on several factors: the course you are pursuing, your category (SC/ST/OBC/Minority/General), your family’s annual income, whether you study in a government or private institution, and the tuition fees and eligible allowances for your course.","The calculation of the UP scholarship amount takes into account the course, the student’s category (SC/ST/OBC/Minority/General), family annual income, type of institution (government or private), and the tuition fees along with any eligible allowances for the respective course.","The amount you get from the UP scholarship depends on a few things: what course you are pursuing, your category (SC/ST/OBC/Minority/General), your family’s yearly income, whether your college is government or private, and the tuition fees plus any allowances for your course."
33,ls scholarship different for SC/ST/OBC/General?',"No, the UP scholarship form is the same for all social categories; however, the disbursement amount varies for each social group","The scholarship form is the same for every social category, but the amount you receive will differ depending on your social group.","The UP scholarship application form is uniform across all social categories; however, the scholarship disbursement amount is determined according to the applicant’s social group.","You use the same form no matter your social category, but the scholarship amount you get will be different for each group."
34,When do we get scholarship amount?',The scholarship amount starts to be disbursed after one or two months of application submission. You can check your UP Scholarship status at https://scholarship.up.gov.in,"After submitting your application, the scholarship amount is usually disbursed within one to two months. Applicants are advised to check their UP Scholarship status on https://scholarship.up.gov.in",It is informed that the scholarship amount is disbursed approximately one to two months after the submission of the application. Students may check their UP Scholarship status through the official website: https://scholarship.up.gov.in,"Once you submit your application, the scholarship amount usually comes in a month or two. You can keep track of your UP Scholarship status at https://scholarship.up.gov.in"
35, 'What is the last date for fee payment?',"","","",""
36, 'what is my  college fee per semester?',"","","",""
37, 'What are the accpted methods for fee payment?',"","","",""
38,Can I pay my fees online?',"Yes, students can now submit college fees online using the portal npgcfees.in.",Students can conveniently pay their college fees online by accessing the portal npgcfees.in.,It is hereby informed that students are required to submit their college fees online through the official portal: npgcfees.in.,You can now pay your college fees online anytime at npgcfees.in.
39,Is it possible to pay fees in installments?',"","","",""
40,does college refund fees after admission?',"","","",""
41,Is there any fine for delayed payment?',"Yes, if a student pays their fees after the due date, a late fee of Rs. 500/- will be charged.","If you pay your fees after the due date, please note that a late fee of Rs. 500/- will apply.",Students who submit their fees after the specified due date are required to pay an additional late fee of Rs. 500/-.,"Yes, if you miss the fee deadline, you’ll need to pay an extra Rs. 500/- as a late fee"
42,How do I get a library card?',"","","",""
43, 'What happens if I lose a library card?',"","","",""
44, 'What is the timing of library?',The library timing is as follows: on working days – 08 hours; before examination days – 08 hours; during examination days – 10 hours; and during vacations – 04 hours.,"Students are advised to note that the library operates for 08 hours on working days and before examination days, 10 hours during examination days, and 04 hours during vacations.","It is hereby notified that the library shall remain open for 08 hours on working days and before examination days, for 10 hours during examination days, and for 04 hours during vacation periods.","Here’s the library schedule for you: it’s open for 08 hours on working days and before exams, 10 hours during exam days, and 04 hours during vacations."
45,What are reading room timings?',"","","",""
46,Is there any digital library/e-resources access?',"Yes, the NPGC website offers e-resources to study for exams and assist with the course syllabus. Link to access the study material: https://www.npgc.in/StudentSupport-OnlineStudyMaterial.aspx",Students can make use of the e-resources available on the NPGC website to prepare for exams and support their course syllabus. Link to access the study material: https://www.npgc.in/StudentSupport-OnlineStudyMaterial.aspx,It is informed that the NPGC website provides e-resources to assist students in exam preparation and understanding of the course syllabus. Link to access the study material: https://www.npgc.in/StudentSupport-OnlineStudyMaterial.aspx,Yes! The NPGC website has helpful e-resources you can use to study for exams and get support with your course syllabus. Link to access the study material: https://www.npgc.in/StudentSupport-OnlineStudyMaterial.aspx
47,what is the fine for late return of books?',"","","",""
48,how can i borrow books from library?',You can borrow books from the library by using a library card. A student can issue up to 6 books per semester. The book code must be entered on the library card and signed by the librarian.,"To borrow books from the library, students need to have a valid library card. Each student is allowed to issue up to 6 books per semester. Ensure that the book code is recorded on your library card and signed by the librarian.",Students are informed that books may be issued from the library only upon presentation of a valid library card. A student may issue up to 6 books per semester. The book code must be duly entered on the library card and authenticated by the librarian’s signature.,Borrowing books is easy! Just make sure you have your library card. You can issue up to 6 books per semester—don’t forget to write the book code on your card and get it signed by the librarian.
49, 'What are the office working hours?',College office hours are Monday to Saturday from 08:00 AM to 04:00 PM. The office remains closed on Sundays.,Students are advised to visit the college office between 08:00 AM and 04:00 PM from Monday to Saturday. The office is closed on Sundays.,"It is hereby notified that the college office operates from 08:00 AM to 04:00 PM, Monday through Saturday, and remains closed on Sundays.","The college office is open from 08:00 AM to 04:00 PM, Monday to Saturday, and stays closed on Sundays."
50,How many books can I issue at once?',"A student can issue up to 6 books per semester. For more information regarding library rules, visit https://www.npgc.in/Library-Rules.aspx","Students are allowed to issue up to 6 books per semester. Please note that dictionaries and encyclopedias are not issued. For detailed library rules, refer to https://www.npgc.in/Library-Rules.aspx",It is hereby informed that a student may issue a maximum of 6 books per semester. Dictionaries and encyclopedias are not issued to students. Further details regarding library rules are available at https://www.npgc.in/Library-Rules.aspx,"You can issue up to 6 books in a semester, but dictionaries and encyclopedias aren’t issued. For more details on library rules, check out https://www.npgc.in/Library-Rules.aspx"
51,Is there wifi on campus?',"Yes, the college campus is served by Wi-Fi/internet access for students.",Students can access Wi-Fi/internet facilities across the college campus for academic use.,It is informed that the college campus is equipped with Wi-Fi/internet access for student use.,Yes! Students can use Wi-Fi/internet access across the college campus.
52, 'What is the menu of canteen?',"","","",""
53, 'Are there any computer labs or science labs?',"","","",""
54,what are the sports facilities in college?',"Various sports activities, competitions, tournaments, and events are organized in the college. Inter-degree collegiate cricket tournaments and annual athletic meets are held by the Department of Sports and Physical Education. Students are provided with equipment, training, and facilities to participate in sports events organized by other agencies and higher education institutions.","Students can take part in various sports activities, competitions, tournaments, and events organized by the college. The Department of Sports and Physical Education conducts inter-degree collegiate cricket tournaments and annual athletic meets. Proper equipment, training, and facilities are provided for participation in sports events conducted by other agencies and higher education institutions.","It is hereby informed that the college organizes various sports activities, competitions, tournaments, and events. Inter-degree collegiate cricket tournaments and annual athletic meets are conducted by the Department of Sports and Physical Education. Students are provided with necessary equipment, training, and facilities to participate in sports events organized by external agencies and institutions of higher education.","The college hosts lots of sports activities, competitions, tournaments, and events! The Department of Sports and Physical Education runs inter-degree cricket tournaments and annual athletic meets. Plus, students get equipment, training, and support to join sports events organized by other agencies and colleges."
55, 'Where can I find the medical room?',"There is no specific medical room or infirmary in the college; however, all departments have been provided with first-aid kits to handle emergencies. Medical centres are located close to the college, where patients from the college are attended to on a priority basis.","Although the college does not have a dedicated medical room or infirmary, all departments are equipped with first-aid kits for emergency situations. In case of further medical needs, nearby medical centres attend to college patients on a priority basis.","The college does not maintain a dedicated medical room or infirmary. However, first-aid kits have been provided in all departments to address emergency situations. Additionally, nearby medical centres attend to patients from the college on a priority basis.","There isn’t a separate medical room or infirmary on campus, but every department has first-aid kits for emergencies. Also, medical centres near the college give priority treatment to students and staff from the college."
56,Is there any transport facility in college?',"","","",""
57,what documents are required for mst?',"","","",""
58, 'What documents are required for hostel admission?',"","","",""
59,How to apply for alumni cell?',"Students can join the alumni cell by contacting the head of the cell, Mr. Amit Srivastava (Assistant Professor, Computer Science Department).","Students interested in joining the alumni cell should reach out to Mr. Amit Srivastava, Assistant Professor in the Computer Science Department and head of the cell.","It is hereby informed that students may join the alumni cell by contacting Mr. Amit Srivastava, Assistant Professor of the Computer Science Department and head of the alumni cell.","If you’d like to join the alumni cell, just contact Mr. Amit Srivastava, Assistant Professor in the Computer Science Department and the head of the cell."
